article_id,model,fluency,faithfulness,informativeness
55.0,Lead-1,5.0,5.0,4.0
55.0,TextRank,4.0,5.0,1.0
55.0,DistilBART,5.0,4.0,4.0
55.0,BART-finetuned,5.0,4.0,2.0
56.0,Lead-1,4.0,5.0,1.0
56.0,TextRank,4.0,5.0,1.0
56.0,DistilBART,5.0,1.0,1.0
56.0,BART-finetuned,5.0,1.0,1.0
57.0,Lead-1,5.0,5.0,1.0
57.0,TextRank,5.0,5.0,2.0
57.0,DistilBART,5.0,3.0,3.0
57.0,BART-finetuned,5.0,1.0,1.0
58.0,Lead-1,5.0,5.0,1.0
58.0,TextRank,5.0,5.0,3.0
58.0,DistilBART,5.0,2.0,3.0
58.0,BART-finetuned,5.0,1.0,1.0
59.0,Lead-1,5.0,5.0,3.0
59.0,TextRank,5.0,5.0,1.0
59.0,DistilBART,5.0,2.0,1.0
59.0,BART-finetuned,5.0,1.0,1.0
60.0,Lead-1,5.0,5.0,2.0
60.0,TextRank,5.0,5.0,1.0
60.0,DistilBART,5.0,5.0,2.0
60.0,BART-finetuned,4.0,5.0,2.0
61.0,Lead-1,5.0,5.0,1.0
61.0,TextRank,5.0,5.0,2.0
61.0,DistilBART,5.0,1.0,1.0
61.0,BART-finetuned,5.0,1.0,1.0
62.0,Lead-1,5.0,5.0,1.0
62.0,TextRank,5.0,5.0,1.0
62.0,DistilBART,5.0,2.0,2.0
62.0,BART-finetuned,5.0,4.0,3.0
63.0,Lead-1,5.0,5.0,3.0
63.0,TextRank,5.0,5.0,2.0
63.0,DistilBART,5.0,5.0,5.0
63.0,BART-finetuned,5.0,1.0,1.0
64.0,Lead-1,5.0,5.0,3.0
64.0,TextRank,5.0,5.0,2.0
64.0,DistilBART,5.0,4.0,3.0
64.0,BART-finetuned,5.0,4.0,3.0
65.0,Lead-1,5.0,5.0,2.0
65.0,TextRank,2.0,5.0,2.0
65.0,DistilBART,5.0,2.0,3.0
65.0,BART-finetuned,5.0,1.0,1.0
66.0,Lead-1,5.0,5.0,3.0
66.0,TextRank,5.0,5.0,4.0
66.0,DistilBART,5.0,3.0,4.0
66.0,BART-finetuned,5.0,2.0,2.0
67.0,Lead-1,5.0,5.0,3.0
67.0,TextRank,5.0,5.0,3.0
67.0,DistilBART,5.0,1.0,1.0
67.0,BART-finetuned,5.0,2.0,1.0
68.0,Lead-1,5.0,5.0,2.0
68.0,TextRank,4.0,5.0,3.0
68.0,DistilBART,5.0,5.0,5.0
68.0,BART-finetuned,5.0,5.0,4.0
69.0,Lead-1,5.0,5.0,4.0
69.0,TextRank,5.0,5.0,2.0
69.0,DistilBART,5.0,4.0,4.0
69.0,BART-finetuned,5.0,2.0,2.0
70.0,Lead-1,5.0,5.0,4.0
70.0,TextRank,5.0,5.0,4.0
70.0,DistilBART,5.0,5.0,5.0
70.0,BART-finetuned,5.0,1.0,1.0
71.0,Lead-1,5.0,5.0,3.0
71.0,TextRank,5.0,5.0,2.0
71.0,DistilBART,5.0,1.0,2.0
71.0,BART-finetuned,5.0,1.0,1.0
72.0,Lead-1,5.0,5.0,4.0
72.0,TextRank,5.0,5.0,4.0
72.0,DistilBART,5.0,4.0,4.0
72.0,BART-finetuned,4.0,2.0,1.0
73.0,Lead-1,5.0,5.0,3.0
73.0,TextRank,5.0,5.0,1.0
73.0,DistilBART,5.0,2.0,3.0
73.0,BART-finetuned,5.0,2.0,2.0
74.0,Lead-1,5.0,5.0,4.0
74.0,TextRank,5.0,5.0,2.0
74.0,DistilBART,3.0,1.0,1.0
74.0,BART-finetuned,5.0,1.0,1.0
75.0,Lead-1,5.0,5.0,2.0
75.0,TextRank,5.0,5.0,2.0
75.0,DistilBART,5.0,5.0,3.0
75.0,BART-finetuned,5.0,5.0,2.0
76.0,Lead-1,5.0,5.0,4.0
76.0,TextRank,5.0,5.0,1.0
76.0,DistilBART,2.0,4.0,2.0
76.0,BART-finetuned,5.0,4.0,3.0
77.0,Lead-1,5.0,5.0,2.0
77.0,TextRank,5.0,5.0,2.0
77.0,DistilBART,5.0,2.0,2.0
77.0,BART-finetuned,4.0,3.0,2.0
78.0,Lead-1,5.0,5.0,4.0
78.0,TextRank,4.0,5.0,1.0
78.0,DistilBART,5.0,3.0,3.0
78.0,BART-finetuned,5.0,3.0,2.0
79.0,Lead-1,5.0,5.0,4.0
79.0,TextRank,4.0,5.0,1.0
79.0,DistilBART,5.0,2.0,2.0
79.0,BART-finetuned,5.0,2.0,2.0
80.0,Lead-1,5.0,5.0,2.0
80.0,TextRank,5.0,5.0,2.0
80.0,DistilBART,5.0,1.0,1.0
80.0,BART-finetuned,5.0,1.0,1.0
81.0,Lead-1,5.0,5.0,2.0
81.0,TextRank,5.0,5.0,1.0
81.0,DistilBART,5.0,2.0,3.0
81.0,BART-finetuned,5.0,1.0,4.0
82.0,Lead-1,5.0,5.0,2.0
82.0,TextRank,5.0,5.0,2.0
82.0,DistilBART,5.0,5.0,4.0
82.0,BART-finetuned,5.0,1.0,1.0
83.0,Lead-1,5.0,5.0,2.0
83.0,TextRank,5.0,5.0,2.0
83.0,DistilBART,5.0,5.0,4.0
83.0,BART-finetuned,5.0,1.0,1.0
84.0,Lead-1,5.0,5.0,4.0
84.0,TextRank,4.0,5.0,2.0
84.0,DistilBART,5.0,2.0,1.0
84.0,BART-finetuned,5.0,1.0,1.0
85.0,Lead-1,5.0,5.0,5.0
85.0,TextRank,5.0,5.0,1.0
85.0,DistilBART,5.0,2.0,3.0
85.0,BART-finetuned,5.0,3.0,4.0
86.0,Lead-1,3.0,4.0,3.0
86.0,TextRank,5.0,5.0,1.0
86.0,DistilBART,5.0,5.0,5.0
86.0,BART-finetuned,5.0,2.0,3.0
87.0,Lead-1,5.0,5.0,4.0
87.0,TextRank,5.0,5.0,1.0
87.0,DistilBART,5.0,4.0,4.0
87.0,BART-finetuned,5.0,1.0,1.0
88.0,Lead-1,5.0,5.0,2.0
88.0,TextRank,5.0,5.0,2.0
88.0,DistilBART,5.0,4.0,4.0
88.0,BART-finetuned,5.0,1.0,1.0
89.0,Lead-1,3.0,5.0,4.0
89.0,TextRank,5.0,5.0,1.0
89.0,DistilBART,5.0,1.0,1.0
89.0,BART-finetuned,5.0,1.0,1.0
90.0,Lead-1,5.0,5.0,2.0
90.0,TextRank,5.0,5.0,1.0
90.0,DistilBART,5.0,2.0,3.0
90.0,BART-finetuned,5.0,1.0,1.0
91.0,Lead-1,5.0,5.0,2.0
91.0,TextRank,5.0,5.0,1.0
91.0,DistilBART,5.0,1.0,1.0
91.0,BART-finetuned,5.0,1.0,1.0
92.0,Lead-1,5.0,5.0,3.0
92.0,TextRank,5.0,5.0,2.0
92.0,DistilBART,5.0,3.0,4.0
92.0,BART-finetuned,5.0,3.0,4.0
93.0,Lead-1,5.0,5.0,2.0
93.0,TextRank,5.0,5.0,1.0
93.0,DistilBART,5.0,1.0,1.0
93.0,BART-finetuned,5.0,1.0,1.0
94.0,Lead-1,5.0,5.0,4.0
94.0,TextRank,5.0,5.0,2.0
94.0,DistilBART,5.0,1.0,1.0
94.0,BART-finetuned,5.0,2.0,1.0
95.0,Lead-1,5.0,5.0,4.0
95.0,TextRank,5.0,5.0,1.0
95.0,DistilBART,5.0,4.0,4.0
95.0,BART-finetuned,5.0,1.0,1.0
96.0,Lead-1,5.0,5.0,2.0
96.0,TextRank,5.0,5.0,4.0
96.0,DistilBART,5.0,2.0,2.0
96.0,BART-finetuned,5.0,4.0,4.0
97.0,Lead-1,5.0,5.0,2.0
97.0,TextRank,5.0,5.0,2.0
97.0,DistilBART,5.0,5.0,4.0
97.0,BART-finetuned,5.0,2.0,2.0
98.0,Lead-1,5.0,5.0,2.0
98.0,TextRank,5.0,5.0,1.0
98.0,DistilBART,5.0,2.0,2.0
98.0,BART-finetuned,5.0,4.0,4.0
99.0,Lead-1,5.0,5.0,3.0
99.0,TextRank,5.0,5.0,2.0
99.0,DistilBART,5.0,4.0,3.0
99.0,BART-finetuned,5.0,5.0,4.0
100.0,Lead-1,5.0,5.0,2.0
100.0,TextRank,5.0,5.0,3.0
100.0,DistilBART,5.0,5.0,5.0
100.0,BART-finetuned,5.0,4.0,2.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
